nombre,categoria,origen,ingredientes,descripcion,tiempo_preparacion,dificultad
Receta 19,cena,Italia,"pan, mostaza, limón, aguacate, pimienta","Receta deliciosa con limón, aguacate, pan, pimienta, mostaza.",119,difícil
Receta 20,sopa,EE.UU.,"mostaza, arroz, pera, aceite de oliva, huevo, espinaca, queso, pepino","Receta deliciosa con queso, espinaca, huevo, pera, mostaza.",41,fácil
Receta 21,bebida,EE.UU.,"cebolla, vinagre, lentejas, pollo, miel, pasta, manzana, pepino, queso, limón","Receta deliciosa con lentejas, manzana, queso, vinagre.",34,fácil
Receta 22,snack,Japón,"salsa de tomate, limón, queso, zanahoria, frijoles, papa, mostaza","Receta deliciosa con mostaza, salsa de tomate, frijoles.",44,difícil
Receta 23,almuerzo,Japón,"miel, tomate, fresas, ajo, queso, pera","Receta deliciosa con ajo, tomate, pera, queso, miel, fresas.",67,fácil
Receta 24,sopa,Francia,"zanahoria, frijoles, miel, leche, pera","Receta deliciosa con zanahoria, miel, frijoles.",52,difícil
Receta 25,cena,Francia,"mostaza, queso, miel, salsa de tomate, espinaca, huevo, aguacate","Receta deliciosa con aguacate, queso, salsa de tomate, espinaca, huevo.",80,media
Receta 26,snack,Colombia,"soya, frijoles, sal, mantequilla, ajo, champiñones, pera","Receta deliciosa con sal, ajo, pera.",36,fácil
Receta 27,snack,Francia,"vinagre, ajo, espinaca, sal, pasta","Receta deliciosa con espinaca, ajo, pasta, vinagre, sal.",20,fácil
Receta 28,ensalada,España,"yogur, mantequilla, lentejas, banano, champiñones, limón, miel, cebolla","Receta deliciosa con yogur, mantequilla, lentejas.",80,fácil
Receta 29,snack,Perú,"frijoles, pepino, lentejas, champiñones, mantequilla, pera","Receta deliciosa con frijoles, pera, pepino, mantequilla, lentejas.",119,media
Receta 30,almuerzo,China,"ajo, leche, yogur, espinaca, pan, sal, carne, queso","Receta deliciosa con espinaca, yogur, carne, pan, ajo, leche.",36,fácil
Receta 31,desayuno,India,"mostaza, vinagre, leche, sal, huevo, pan, pepino, lentejas","Receta deliciosa con leche, pan, vinagre, huevo.",87,difícil
Receta 32,ensalada,Italia,"fresas, manzana, yogur, ajo, pera, pan, lentejas, soya, papa, aceite de oliva","Receta deliciosa con aceite de oliva, papa, yogur, ajo, manzana, soya.",95,difícil
Receta 33,desayuno,Japón,"banano, champiñones, carne, zanahoria, lentejas, pescado, sal, tomate, yogur, ajo","Receta deliciosa con tomate, champiñones, zanahoria, carne, lentejas, pescado.",79,fácil
Receta 34,almuerzo,México,"banano, pan, vinagre, pera, cebolla","Receta deliciosa con banano, cebolla, pan, pera, vinagre.",33,difícil
Receta 35,bebida,Colombia,"tomate, mostaza, manzana, pan, leche","Receta deliciosa con leche, tomate, mostaza.",58,media
Receta 36,snack,Francia,"ajo, fresas, tomate, espinaca, papa, banano, pimienta","Receta deliciosa con papa, banano, fresas, tomate.",39,media
Receta 37,sopa,Colombia,"pera, aceite de oliva, yogur, tomate, maíz, leche, frijoles, sal","Receta deliciosa con pera, frijoles, sal, yogur, tomate.",102,fácil
Receta 38,desayuno,EE.UU.,"fresas, champiñones, salsa de tomate, mantequilla, yogur","Receta deliciosa con yogur, mantequilla, champiñones, salsa de tomate.",101,media
Receta 39,cena,Colombia,"tomate, manzana, cebolla, sal, zanahoria, frijoles, mostaza, queso, maíz, pasta","Receta deliciosa con maíz, tomate, frijoles.",112,fácil
Receta 40,desayuno,Francia,"banano, salsa de tomate, fresas, papa, huevo, champiñones, pera, soya","Receta deliciosa con pera, banano, champiñones, fresas.",72,media
Receta 41,postre,Perú,"manzana, papa, mantequilla, pescado, fresas","Receta deliciosa con papa, mantequilla, manzana, fresas, pescado.",68,media
Receta 42,sopa,Francia,"banano, miel, pasta, aguacate, pescado, ajo","Receta deliciosa con ajo, pasta, miel, pescado, aguacate, banano.",41,fácil
Receta 43,snack,EE.UU.,"pescado, zanahoria, manzana, queso, yogur, fresas","Receta deliciosa con pescado, zanahoria, manzana, fresas, yogur.",83,fácil
Receta 44,almuerzo,Francia,"champiñones, limón, arroz, fresas, pimienta, yogur, banano","Receta deliciosa con pimienta, yogur, fresas, champiñones, banano, arroz.",14,fácil
Receta 45,desayuno,EE.UU.,"yogur, lentejas, mantequilla, salsa de tomate, espinaca, soya, pimienta, champiñones, queso, manzana","Receta deliciosa con queso, mantequilla, yogur.",9,fácil
Receta 46,postre,Italia,"pera, pimienta, fresas, ajo, zanahoria, champiñones, pescado","Receta deliciosa con champiñones, pimienta, pera, pescado, ajo.",61,media
Receta 47,sopa,México,"lentejas, espinaca, papa, yogur, pepino, zanahoria, salsa de tomate, miel","Receta deliciosa con salsa de tomate, lentejas, zanahoria, pepino, yogur.",62,fácil
Receta 48,desayuno,Perú,"yogur, pepino, banano, huevo, miel, zanahoria","Receta deliciosa con yogur, pepino, huevo, banano.",101,difícil
Receta 49,snack,China,"mantequilla, fresas, banano, pasta, vinagre, cebolla","Receta deliciosa con pasta, banano, fresas, cebolla, vinagre, mantequilla.",119,fácil
Receta 50,bebida,EE.UU.,"ajo, manzana, queso, mostaza, leche, pasta, pescado, cebolla, mantequilla, yogur","Receta deliciosa con pasta, ajo, cebolla, manzana, mantequilla.",79,fácil
Receta 51,snack,Japón,"sal, aguacate, cebolla, pepino, pescado, pollo, aceite de oliva, ajo, limón, pera","Receta deliciosa con sal, cebolla, pepino, aceite de oliva, pollo, pera.",18,difícil
Receta 52,postre,España,"limón, maíz, mostaza, zanahoria, queso, champiñones, pimienta, pera","Receta deliciosa con maíz, limón, pimienta, pera, mostaza.",71,difícil
Receta 53,postre,China,"pepino, aguacate, fresas, frijoles, queso","Receta deliciosa con frijoles, queso, pepino, fresas, aguacate.",100,media
Receta 54,almuerzo,Japón,"aceite de oliva, arroz, manzana, carne, champiñones, queso, pimienta, pasta, tomate","Receta deliciosa con tomate, aceite de oliva, manzana, carne, queso.",22,difícil
Receta 55,cena,Japón,"limón, soya, pera, banano, lentejas, frijoles","Receta deliciosa con soya, lentejas, limón, banano.",44,fácil
Receta 56,sopa,México,"leche, banano, sal, miel, limón, queso","Receta deliciosa con limón, leche, sal, banano, miel, queso.",7,media
Receta 57,postre,EE.UU.,"sal, carne, pimienta, arroz, pescado, miel, pera, salsa de tomate, frijoles, pasta","Receta deliciosa con pescado, pera, sal, frijoles.",68,fácil
Receta 58,almuerzo,China,"tomate, lentejas, frijoles, cebolla, yogur, pollo, aguacate, mostaza, mantequilla","Receta deliciosa con cebolla, mostaza, pollo, aguacate, lentejas.",103,difícil
Receta 59,sopa,Italia,"yogur, frijoles, cebolla, limón, aceite de oliva","Receta deliciosa con frijoles, cebolla, yogur, limón, aceite de oliva.",85,media
Receta 60,almuerzo,China,"limón, miel, soya, queso, lentejas, banano","Receta deliciosa con queso, limón, soya, lentejas.",21,difícil
Receta 61,sopa,México,"salsa de tomate, pimienta, queso, huevo, soya, sal, fresas","Receta deliciosa con sal, soya, huevo, pimienta, fresas, salsa de tomate.",30,media
Receta 62,ensalada,Colombia,"soya, pasta, pollo, pan, aguacate, manzana, yogur, pepino","Receta deliciosa con yogur, pasta, soya, pollo.",42,difícil
Receta 63,snack,Japón,"pepino, manzana, ajo, pan, sal, espinaca, miel","Receta deliciosa con pepino, manzana, sal, pan.",52,media
Receta 64,ensalada,México,"maíz, pollo, pepino, lentejas, papa, salsa de tomate, leche, pimienta","Receta deliciosa con lentejas, salsa de tomate, pepino.",79,fácil
Receta 65,almuerzo,México,"papa, fresas, vinagre, pescado, tomate","Receta deliciosa con pescado, tomate, papa, vinagre.",42,media
Receta 66,cena,Francia,"espinaca, arroz, papa, lentejas, sal, aguacate, soya, zanahoria","Receta deliciosa con zanahoria, lentejas, papa.",113,fácil
Receta 67,snack,India,"pescado, yogur, zanahoria, maíz, arroz, leche, mantequilla, frijoles, vinagre","Receta deliciosa con pescado, mantequilla, zanahoria, vinagre, arroz, leche.",64,fácil
Receta 68,cena,México,"sal, pescado, ajo, mantequilla, queso, frijoles, vinagre, pasta, pollo, tomate","Receta deliciosa con vinagre, queso, tomate, sal, pollo, pasta.",57,difícil
Receta 69,almuerzo,España,"leche, manzana, banano, papa, pasta, pescado, zanahoria, maíz","Receta deliciosa con papa, banano, pasta, manzana, leche.",16,difícil
Receta 70,almuerzo,España,"carne, pollo, arroz, pasta, pepino, zanahoria, papa","Receta deliciosa con pepino, papa, pollo.",45,media
Receta 71,bebida,Francia,"mostaza, manzana, mantequilla, pollo, arroz","Receta deliciosa con mostaza, arroz, pollo.",99,difícil
Receta 72,snack,Colombia,"lentejas, mostaza, ajo, pescado, salsa de tomate, vinagre","Receta deliciosa con vinagre, salsa de tomate, mostaza, lentejas.",111,media
Receta 73,sopa,Japón,"huevo, cebolla, maíz, miel, yogur, soya","Receta deliciosa con yogur, cebolla, soya, huevo, miel.",33,fácil
Receta 74,postre,China,"ajo, huevo, champiñones, fresas, mantequilla, limón, soya, cebolla","Receta deliciosa con fresas, mantequilla, ajo.",30,fácil
Receta 75,bebida,China,"zanahoria, pescado, mantequilla, miel, lentejas","Receta deliciosa con pescado, miel, zanahoria, mantequilla, lentejas.",28,media
Receta 76,sopa,Japón,"yogur, tomate, arroz, frijoles, manzana, pepino, fresas, pan, queso","Receta deliciosa con pepino, yogur, manzana, arroz, queso, tomate.",104,fácil
Receta 77,cena,Francia,"mantequilla, carne, fresas, arroz, pollo, limón","Receta deliciosa con limón, pollo, carne, arroz.",27,media
Receta 78,cena,EE.UU.,"frijoles, yogur, huevo, vinagre, papa, pimienta, salsa de tomate","Receta deliciosa con huevo, salsa de tomate, frijoles, vinagre, papa.",89,difícil
Receta 79,cena,EE.UU.,"vinagre, banano, pera, huevo, cebolla, aceite de oliva","Receta deliciosa con banano, aceite de oliva, pera, vinagre, cebolla.",54,difícil
Receta 80,almuerzo,Italia,"cebolla, pera, lentejas, soya, frijoles, banano, pescado","Receta deliciosa con frijoles, lentejas, soya, pera.",53,difícil
Receta 81,postre,Colombia,"soya, mostaza, pan, pera, aceite de oliva, pollo, salsa de tomate, manzana","Receta deliciosa con salsa de tomate, mostaza, pera, manzana, pollo, pan.",62,difícil
Receta 82,desayuno,Perú,"queso, huevo, salsa de tomate, ajo, frijoles, papa","Receta deliciosa con frijoles, huevo, queso.",73,fácil
Receta 83,almuerzo,Colombia,"mantequilla, banano, manzana, queso, soya, limón, papa, vinagre, ajo, pan","Receta deliciosa con banano, mantequilla, ajo.",83,media
Receta 84,snack,Colombia,"banano, arroz, pepino, zanahoria, aguacate, pan, sal, ajo, salsa de tomate","Receta deliciosa con sal, aguacate, arroz, ajo.",36,difícil
Receta 85,cena,Italia,"maíz, banano, frijoles, pan, zanahoria, tomate, pescado, aceite de oliva","Receta deliciosa con zanahoria, pan, tomate, maíz.",22,fácil
Receta 86,cena,Francia,"pepino, pan, salsa de tomate, pescado, yogur, mantequilla, maíz, tomate, pimienta","Receta deliciosa con pepino, pan, pimienta.",105,difícil
Receta 87,sopa,EE.UU.,"papa, mostaza, mantequilla, maíz, sal, champiñones","Receta deliciosa con sal, maíz, mostaza.",95,difícil
Receta 88,bebida,Francia,"champiñones, carne, lentejas, fresas, limón","Receta deliciosa con carne, fresas, limón.",61,fácil
Receta 89,snack,Francia,"frijoles, papa, champiñones, miel, pan, pollo, mantequilla, carne","Receta deliciosa con pan, carne, champiñones, papa.",83,media
Receta 90,bebida,Italia,"mostaza, pera, salsa de tomate, pollo, aguacate, espinaca, tomate, banano","Receta deliciosa con tomate, pollo, espinaca, salsa de tomate, mostaza, pera.",47,fácil
Receta 91,cena,España,"yogur, aguacate, pera, vinagre, banano, champiñones, leche, huevo, queso","Receta deliciosa con leche, vinagre, pera, yogur, huevo, aguacate.",94,fácil
Receta 92,bebida,Perú,"pasta, soya, carne, zanahoria, huevo, cebolla, pan, salsa de tomate, leche","Receta deliciosa con carne, cebolla, pan, huevo, pasta.",16,difícil
Receta 93,bebida,India,"vinagre, maíz, espinaca, pan, frijoles, arroz, papa","Receta deliciosa con papa, pan, espinaca, maíz, arroz, frijoles.",48,difícil
Receta 94,sopa,Perú,"aguacate, limón, zanahoria, pan, maíz, champiñones, queso","Receta deliciosa con pan, aguacate, queso, limón.",112,difícil
Receta 95,ensalada,Japón,"mostaza, frijoles, pollo, pasta, leche, queso, papa, arroz, tomate, espinaca","Receta deliciosa con arroz, mostaza, queso, pollo.",77,difícil
Receta 96,postre,México,"tomate, pollo, yogur, salsa de tomate, cebolla, pan, pescado, pera","Receta deliciosa con salsa de tomate, yogur, pera, cebolla, tomate, pan.",109,difícil
Receta 97,almuerzo,Italia,"aguacate, mostaza, tomate, limón, frijoles, arroz","Receta deliciosa con arroz, tomate, frijoles, mostaza, limón.",89,media
Receta 98,snack,Perú,"espinaca, pan, frijoles, vinagre, papa, aceite de oliva, pimienta","Receta deliciosa con frijoles, papa, espinaca, pan.",60,difícil
Receta 99,bebida,EE.UU.,"pasta, tomate, banano, carne, arroz, pimienta, ajo, zanahoria","Receta deliciosa con zanahoria, pasta, tomate, banano, pimienta.",109,media
Receta 100,cena,China,"limón, ajo, aceite de oliva, pepino, aguacate, tomate, miel, papa","Receta deliciosa con papa, miel, aguacate.",110,difícil
Receta 101,almuerzo,India,"queso, pepino, tomate, soya, cebolla, pasta, aguacate, vinagre","Receta deliciosa con pepino, pasta, cebolla, tomate, vinagre, queso.",55,fácil
Receta 102,snack,Italia,"papa, pan, soya, cebolla, pera, arroz, limón, champiñones","Receta deliciosa con pera, limón, soya.",51,media
Receta 103,ensalada,México,"manzana, arroz, champiñones, soya, banano","Receta deliciosa con champiñones, soya, arroz, banano, manzana.",91,difícil
Receta 104,snack,EE.UU.,"banano, frijoles, lentejas, vinagre, yogur, aguacate, aceite de oliva, queso","Receta deliciosa con queso, banano, frijoles.",99,fácil
Receta 105,bebida,EE.UU.,"manzana, leche, tomate, pan, cebolla, ajo, pepino","Receta deliciosa con cebolla, tomate, ajo, pan.",17,media
Receta 106,ensalada,Francia,"espinaca, arroz, cebolla, mantequilla, leche, banano, sal, zanahoria, miel","Receta deliciosa con sal, leche, arroz.",37,difícil
Receta 107,snack,Perú,"pepino, pasta, zanahoria, miel, huevo, leche","Receta deliciosa con pepino, pasta, leche, huevo.",87,media
Receta 108,bebida,China,"yogur, leche, pepino, banano, mantequilla, aceite de oliva, miel","Receta deliciosa con pepino, mantequilla, yogur, banano.",48,media
Receta 109,postre,China,"zanahoria, salsa de tomate, frijoles, queso, carne","Receta deliciosa con frijoles, zanahoria, salsa de tomate, queso.",27,fácil
Receta 110,almuerzo,India,"pera, fresas, frijoles, banano, sal, salsa de tomate","Receta deliciosa con sal, salsa de tomate, banano.",6,difícil
Receta 111,postre,Colombia,"carne, arroz, soya, miel, queso, maíz","Receta deliciosa con maíz, arroz, miel, soya, queso, carne.",76,fácil
Receta 112,ensalada,EE.UU.,"vinagre, ajo, sal, pasta, lentejas, aguacate","Receta deliciosa con ajo, lentejas, aguacate, vinagre.",63,fácil
Receta 113,ensalada,China,"soya, tomate, aceite de oliva, queso, leche","Receta deliciosa con tomate, aceite de oliva, soya.",10,difícil
Receta 114,cena,España,"champiñones, frijoles, maíz, mantequilla, yogur, zanahoria, pepino, leche, banano, limón","Receta deliciosa con yogur, mantequilla, banano, leche.",70,difícil
Receta 115,desayuno,México,"arroz, banano, vinagre, limón, soya, cebolla, papa","Receta deliciosa con papa, vinagre, soya, banano.",85,media
Receta 116,sopa,Francia,"manzana, soya, maíz, aceite de oliva, pera, pasta, vinagre, pollo","Receta deliciosa con vinagre, pasta, aceite de oliva, maíz.",57,fácil
Receta 117,ensalada,Colombia,"soya, mostaza, tomate, huevo, leche, pasta, lentejas","Receta deliciosa con soya, tomate, huevo, mostaza.",36,media
Receta 118,desayuno,Japón,"maíz, arroz, mantequilla, huevo, frijoles, manzana, queso, cebolla","Receta deliciosa con mantequilla, arroz, huevo, queso, manzana, cebolla.",33,fácil
Receta 119,desayuno,India,"carne, arroz, mostaza, pan, cebolla","Receta deliciosa con carne, arroz, cebolla, pan.",26,media
Receta 120,snack,Japón,"frijoles, mostaza, maíz, ajo, espinaca","Receta deliciosa con maíz, ajo, frijoles, mostaza.",71,fácil
Receta 121,cena,Perú,"pera, vinagre, maíz, aceite de oliva, soya","Receta deliciosa con soya, maíz, pera.",65,difícil
Receta 122,desayuno,EE.UU.,"lentejas, sal, zanahoria, cebolla, pescado, limón, pimienta","Receta deliciosa con limón, pescado, cebolla, sal, zanahoria, pimienta.",24,fácil
Receta 123,desayuno,España,"pepino, leche, tomate, champiñones, limón, queso, zanahoria","Receta deliciosa con limón, leche, zanahoria, tomate, queso, pepino.",115,fácil
Receta 124,sopa,España,"aceite de oliva, fresas, cebolla, miel, banano, sal, frijoles, pescado, salsa de tomate, pera","Receta deliciosa con sal, miel, cebolla.",81,media
Receta 125,bebida,EE.UU.,"pepino, ajo, salsa de tomate, aguacate, queso, vinagre","Receta deliciosa con salsa de tomate, vinagre, ajo, queso, aguacate, pepino.",31,fácil
Receta 126,bebida,China,"huevo, manzana, yogur, pimienta, frijoles","Receta deliciosa con huevo, frijoles, manzana, pimienta, yogur.",41,difícil
Receta 127,snack,Italia,"vinagre, pepino, champiñones, limón, huevo, leche","Receta deliciosa con leche, vinagre, limón.",27,difícil
Receta 128,almuerzo,Francia,"miel, mostaza, carne, pimienta, arroz, aceite de oliva","Receta deliciosa con miel, mostaza, arroz.",15,media
Receta 129,ensalada,India,"huevo, manzana, arroz, champiñones, zanahoria, tomate, banano","Receta deliciosa con arroz, tomate, manzana, huevo.",59,media
Receta 130,desayuno,Perú,"espinaca, lentejas, banano, aguacate, pera, tomate","Receta deliciosa con espinaca, aguacate, lentejas, pera, tomate, banano.",32,fácil
Receta 131,cena,EE.UU.,"limón, yogur, papa, queso, espinaca, salsa de tomate, mantequilla","Receta deliciosa con salsa de tomate, yogur, espinaca, limón.",103,difícil
Receta 132,ensalada,EE.UU.,"frijoles, espinaca, vinagre, manzana, champiñones, pimienta, limón, aguacate, queso","Receta deliciosa con manzana, vinagre, pimienta.",32,fácil
Receta 133,postre,Colombia,"queso, soya, pasta, tomate, salsa de tomate, pepino, sal, miel","Receta deliciosa con soya, sal, miel, queso, tomate.",65,difícil
Receta 134,cena,Colombia,"vinagre, pollo, carne, aguacate, arroz, pan, frijoles","Receta deliciosa con pan, vinagre, pollo.",65,difícil
Receta 135,almuerzo,España,"aguacate, ajo, maíz, arroz, champiñones","Receta deliciosa con ajo, maíz, arroz, aguacate.",89,difícil
Receta 136,bebida,Francia,"cebolla, sal, yogur, arroz, carne, maíz, pasta, vinagre, ajo","Receta deliciosa con carne, pasta, sal, maíz.",16,media
Receta 137,sopa,España,"cebolla, zanahoria, mantequilla, huevo, mostaza, pimienta, maíz, salsa de tomate, frijoles","Receta deliciosa con maíz, mantequilla, cebolla, pimienta, zanahoria, frijoles.",23,media
Receta 138,postre,México,"cebolla, pescado, leche, frijoles, aceite de oliva, manzana, champiñones, carne, limón, arroz","Receta deliciosa con pescado, leche, cebolla.",105,difícil
Receta 139,cena,Japón,"aceite de oliva, miel, espinaca, frijoles, fresas","Receta deliciosa con espinaca, frijoles, fresas, miel, aceite de oliva.",80,difícil
Receta 140,sopa,India,"arroz, sal, zanahoria, lentejas, soya, aceite de oliva, leche","Receta deliciosa con zanahoria, arroz, leche.",54,fácil
Receta 141,ensalada,Perú,"mantequilla, pera, leche, ajo, fresas, zanahoria","Receta deliciosa con leche, pera, fresas, mantequilla, zanahoria.",52,difícil
Receta 142,postre,Colombia,"leche, frijoles, pera, vinagre, huevo, miel, yogur, espinaca","Receta deliciosa con leche, espinaca, vinagre.",76,fácil
Receta 143,bebida,India,"pasta, yogur, zanahoria, cebolla, tomate, banano, pollo, limón, pera, champiñones","Receta deliciosa con cebolla, champiñones, tomate.",63,fácil
Receta 144,almuerzo,EE.UU.,"yogur, papa, maíz, cebolla, aguacate, pan","Receta deliciosa con aguacate, papa, yogur.",18,fácil
Receta 145,bebida,Perú,"sal, salsa de tomate, limón, tomate, espinaca","Receta deliciosa con tomate, sal, espinaca, salsa de tomate, limón.",78,difícil
Receta 146,bebida,Japón,"limón, salsa de tomate, arroz, fresas, mostaza","Receta deliciosa con fresas, limón, salsa de tomate, arroz, mostaza.",113,fácil
Receta 147,snack,India,"pescado, leche, tomate, aceite de oliva, mantequilla, pan, pimienta, lentejas, huevo, yogur","Receta deliciosa con aceite de oliva, yogur, huevo, mantequilla, tomate, pescado.",94,media
Receta 148,ensalada,India,"limón, fresas, pera, papa, maíz, aguacate","Receta deliciosa con papa, limón, fresas, aguacate, maíz.",119,media
Receta 149,bebida,Italia,"pasta, pescado, vinagre, mostaza, papa, sal","Receta deliciosa con pasta, sal, vinagre, papa, pescado, mostaza.",48,difícil
Receta 150,sopa,México,"sal, leche, banano, yogur, champiñones, aguacate, papa, frijoles, mantequilla, mostaza","Receta deliciosa con papa, mantequilla, leche, sal, frijoles.",78,fácil
Receta 151,snack,Italia,"soya, mostaza, cebolla, maíz, zanahoria","Receta deliciosa con zanahoria, maíz, mostaza, soya.",112,fácil
Receta 152,ensalada,México,"mostaza, champiñones, zanahoria, aceite de oliva, miel, manzana","Receta deliciosa con miel, champiñones, manzana, mostaza, aceite de oliva, zanahoria.",112,difícil
Receta 153,almuerzo,Colombia,"tomate, pimienta, soya, aguacate, banano","Receta deliciosa con tomate, banano, pimienta, aguacate, soya.",18,media
Receta 154,cena,EE.UU.,"champiñones, manzana, pimienta, mostaza, lentejas, queso, fresas, maíz, pollo, pescado","Receta deliciosa con queso, mostaza, pimienta.",46,fácil
Receta 155,desayuno,Colombia,"pera, pollo, huevo, vinagre, pan, leche","Receta deliciosa con pan, leche, pollo.",13,fácil
Receta 156,ensalada,Perú,"manzana, sal, yogur, soya, vinagre, zanahoria, lentejas","Receta deliciosa con sal, vinagre, manzana, yogur, zanahoria, soya.",66,fácil
Receta 157,cena,Italia,"pan, champiñones, vinagre, carne, arroz, frijoles","Receta deliciosa con vinagre, champiñones, pan.",10,difícil
Receta 158,sopa,EE.UU.,"ajo, lentejas, pepino, sal, pasta, vinagre, miel, aceite de oliva, carne","Receta deliciosa con carne, vinagre, miel, aceite de oliva, lentejas.",45,media
Receta 159,snack,China,"banano, manzana, espinaca, limón, pimienta, mostaza, huevo, pescado","Receta deliciosa con pescado, espinaca, pimienta, mostaza.",38,fácil
Receta 160,cena,Japón,"soya, champiñones, limón, carne, salsa de tomate, lentejas, papa","Receta deliciosa con champiñones, soya, carne, papa, salsa de tomate, limón.",49,media
Receta 161,snack,EE.UU.,"frijoles, pescado, champiñones, lentejas, pepino, pasta, pera","Receta deliciosa con champiñones, frijoles, pepino, lentejas, pasta.",120,fácil
Receta 162,bebida,EE.UU.,"champiñones, lentejas, fresas, mostaza, yogur","Receta deliciosa con fresas, lentejas, yogur.",49,fácil
Receta 163,almuerzo,México,"limón, arroz, miel, pan, aceite de oliva, pepino, yogur, espinaca, huevo","Receta deliciosa con miel, aceite de oliva, yogur, limón.",57,media
Receta 164,snack,Perú,"maíz, arroz, fresas, champiñones, ajo, mostaza, frijoles","Receta deliciosa con ajo, champiñones, frijoles.",120,media
Receta 165,ensalada,China,"pan, aceite de oliva, pimienta, pepino, lentejas, miel, carne, espinaca, limón","Receta deliciosa con espinaca, miel, lentejas, pan, pepino.",65,media
Receta 166,sopa,México,"mostaza, yogur, maíz, pimienta, arroz, huevo, manzana, tomate, limón, champiñones","Receta deliciosa con tomate, maíz, champiñones, mostaza, yogur.",7,media
Receta 167,almuerzo,Francia,"aguacate, ajo, arroz, fresas, maíz","Receta deliciosa con maíz, arroz, ajo, aguacate, fresas.",110,fácil
Receta 168,snack,Japón,"soya, frijoles, fresas, miel, huevo, tomate, salsa de tomate, maíz","Receta deliciosa con frijoles, miel, soya, huevo.",18,media
Receta 169,sopa,Japón,"aguacate, pera, limón, vinagre, yogur, lentejas","Receta deliciosa con lentejas, limón, pera, aguacate, vinagre, yogur.",116,difícil
Receta 170,cena,México,"mantequilla, pera, lentejas, cebolla, leche, pescado, vinagre, carne, pimienta, sal","Receta deliciosa con lentejas, cebolla, pescado.",13,media
Receta 171,almuerzo,India,"huevo, limón, fresas, espinaca, pollo, pepino, cebolla","Receta deliciosa con huevo, cebolla, pollo, pepino.",66,fácil
Receta 172,snack,Italia,"aceite de oliva, yogur, salsa de tomate, maíz, frijoles, mantequilla, papa, mostaza, ajo, arroz","Receta deliciosa con salsa de tomate, frijoles, aceite de oliva, mostaza.",17,fácil
